Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
LI,C2400000202,"Les réseaux sociaux","Yasmina Salmandjee-Lecomte",MED3A,"Doc./002 SOC",0,2017,2016,1,0,1
LI,,"Les drones","Rodolphe Jobard",MED3A,,-2,2017,2016,0,1,
LI,C2400000192,"À l'aventure avec Arduino","Becky Stewart",MED3A,"Doc./000 MAT",0,2017,2015,2,0,2
LI,C2400000193,"L'intelligence artificielle en images","Henry Brighton & Howard Selina",MED3A,"Doc./000 ABC",0,2017,2015,1,0,1
LI,C2400000194,"La nouvelle servitude volontaire",,MED3A,"Doc./000A BC",0,2017,2016,3,2,3
LI,C2400000195,"Lettres à Alan Turing","réunies et présentées par Jean-Marc Lévy-Leblond",MED3A,"Doc./000 ABC",0,2017,2016,1,0,1
LI,C2400000207,"Word 2016 pour Mac ",,MED3A,"Doc./005 TXT",0,2017,2016,0,0,
LI,C2400000206,"JQuery - Le framework javascript pour des sites dynamiques et interactifs ",,MED3A,"Doc./004 PRO",0,2017,2016,1,0,1
LI,C2400000213,"Facebook ",,MED3A,"Doc./002 SOC",0,2017,2016,2,0,2
LI,C2400000209,"Projets Arduino","Brock Craft",MED3A,"Doc./000 MAT",0,2017,2016,3,1,3
LI,C2400000210,Processing,"Jean-Michel Géridan, Jean-Noël Lafargue",MED3A,"Doc./004 PRO",0,2017,2016,3,2,3
LI,C2400000211,"Raspberry Pi et l'ESP 8266 pour la domotique","Marc-Olivier Schwartz,...",MED3A,"Doc./000 MAT",0,2017,2016,3,3,3
LI,C2400000212,"Sociologie du numérique","Dominique Boullier",MED3A,"Doc./000 ABC",0,2017,2016,2,0,2
LI,C2400000078,"WordPress 4.5","[Christophe Aubry]",MED3A,"Doc./002 WEB",0,2017,2016,3,4,3
LI,C2400000080,"Mes tout premiers pas avec Windows 10","Servane Heudiard",MED3A,"Doc./006 WIN",0,2017,2016,2,0,2
LI,C2400000076,"Du C au C++","[Frédéric Drouillon]",MED3A,"Doc./004 PRO",0,2017,2014,2,0,2
LI,C2400000070,"Drupal 8","Christophe Aubry",MED3A,"Doc./002 WEB",0,2017,2015,0,0,
LI,C2400000069,"LibreOffice Calc 5",,MED3A,"Doc./005 CAL",0,2017,2016,2,0,2
LI,C2400000068,Linux,"[Nicolas Pons]",MED3A,"Doc./006 LIN",0,2017,2016,3,2,3
LI,C2400000067,"Word 2016","Dan Gookin",MED3A,"Doc./005 TXT",0,2017,2016,1,0,2
LI,C2400000066,"La tête dans la toile","Xavier de La Porte",MED3A,"Doc./002 ENJ",0,2017,2016,0,0,
LI,C2400000065,"LibreOffice Writer 5",,MED3A,"Doc./005 TXT",0,2017,2016,1,0,1
LI,C2400000064,"Java 8","[Thierry Groussard]",MED3A,"Doc./004 PRO",0,2017,2014,3,0,3
LI,C2400000075,"Macros et langage VBA","Frédéric Le Guen",MED3A,"Doc./005 CAL",0,2017,2015,4,0,5
LI,C2400000073,"Mouvement, lumière et son avec Arduino et Raspberry Pi","Simon Monk",MED3A,"Doc./000 MAT",0,2017,2016,5,3,5
LI,C2400000072,"Apprendre la programmation par le jeu","Vincent Maille",MED3A,"Doc./004 PRO",0,2017,2015,6,5,6
