Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
Jeunesse,"J'aime lire",154779,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,60,372,138,72,25
Jeunesse,"J'aime lire max",260405,"RDC / Espace presse","Prêt Jeunesse",oui,"ancien D lire",mensuel,70,117,48,35,12
Jeunesse,"J'apprends l'anglais",267152,"Prêt Jeunesse",,oui,,bimestriel,23,47,25,18,6
Jeunesse,"Journal de Mickey",156420,"RDC / Espace presse","Prêt Jeunesse",oui,,hebdomadaire,104,766,102,127,48
Jeunesse,"Journal des enfants",300407,"Prêt Jeunesse",,oui,nouveau,hebdomadaire,62,0,0,0,3
Jeunesse,"Julie : vive les filles !",203419,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,59,194,51,36,11
Jeunesse,Manon,265055,"Prêt Jeunesse","Prêt Jeunesse",oui,,mensuel,82,158,47,36,12
Jeunesse,"Mes premiers j'aime lire",275194,"Prêt Jeunesse",,oui,,mensuel,72,127,45,24,11
Jeunesse,Mobiclic,180589,,,,MORT,,0,66,24,32,0
Jeunesse,"Moi je lis",203416,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,59,84,33,34,12
Jeunesse,"Mon cheval",288272,"Prêt Jeunesse",,oui,"nouveau ",bimestriel,10,10,9,2,1
Jeunesse,"National geographic kids",,"RDC / Espace presse","Prêt Jeunesse",oui,"nouveau pour 2017 ou 2018",mensuel,57,0,0,0,0
Jeunesse,"Okapi ",154781,"RDC / Espace presse","Prêt Jeunesse",oui,,bimensuel,100,214,63,65,22
Jeunesse,Papillote,266162,"Prêt Jeunesse",,oui,,trimestriel,17,60,33,12,3
Jeunesse,"Petit Léonard ",156348,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,55,30,14,23,11
Jeunesse,"Petites mains",265051,"Prêt Jeunesse",,oui,"abt couplé avec Manon",trimestriel,0,22,12,8,2
Jeunesse,"Phileas & autobule",277575,"Prêt Jeunesse",,oui,Nouveau,bimestriel,25,18,12,9,5
Jeunesse,Picoti,157476,"Prêt Jeunesse",,oui,,mensuel,57,151,51,37,12
Jeunesse,"Picsou magazine",265100,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,39,120,52,19,8
Jeunesse,Pirouette,203415,"Prêt Jeunesse",,oui,,mensuel,65,36,20,26,13
Jeunesse,"Planète cheval",288271,"Prêt Jeunesse",,oui,"nouveau ",trimestriel,10,10,10,2,1
Jeunesse,"Pomme d'api ",154780,"Prêt Jeunesse",,oui,,mensuel,65,115,31,48,12
