code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0005196864,2012-01-11,2014-11,15,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003703461,2005-03-25,,52,J08,Jeunesse,Romans,"Premiers romans",
C0003646465,2005-03-25,2015-09,89,JDT70ZZ,Jeunesse,Documentaires,"Activités manuelles / Arts (enfants)",
C0003746037,2013-04-18,,1,J11,Jeunesse,Documentaires,,
C0004878316,2009-05-23,2016-03,27,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0003745609,2005-03-25,,7,J11,Jeunesse,Documentaires,,
C0003744815,2005-03-25,2016-07,64,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0003713979,2005-03-25,2015-03,57,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0003735280,2005-03-25,,70,J11,Jeunesse,Documentaires,,
C0003739739,2005-03-25,2014-12,22,JDT70ZZ,Jeunesse,Documentaires,"Activités manuelles / Arts (enfants)",
C0003712567,2005-03-25,2014-09,34,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004049713,2011-09-29,,17,J05,Jeunesse,Albums,"Albums Petits enfants",
C0005289497,2010-10-26,2016-05,50,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003735400,2005-03-25,2014-09,30,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0006017491,2014-05-13,2016-05,32,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005549177,2013-05-03,2016-05,35,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005208271,2011-10-05,2016-05,37,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004094653,2005-06-15,2015-03,17,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003690642,2005-03-25,,90,J09,Jeunesse,BD,,
C0003716977,2005-03-25,2016-03,46,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003732850,2005-03-25,,45,J04,Jeunesse,Albums,"Albums enfants",
C0003732931,2005-03-25,2016-01,45,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003732622,2005-03-25,,76,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003735395,2005-03-25,2015-01,84,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003737062,2005-03-25,2015-10,26,JROSFZZ,Jeunesse,Romans,Science-fiction,
C0003740992,2005-03-25,,39,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003740756,2005-03-25,,44,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003809372,2005-03-25,2015-05,16,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003738327,2005-03-25,2016-03,19,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003738652,2005-03-25,2016-04,32,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
